DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2022,215489,Caring Companions Limited,628.18,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2022,215489,Caring Companions Limited,642.73,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2022,215489,Caring Companions Limited,645.21,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2022,215489,Caring Companions Limited,691.60,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/04/2022,100121,Phoenix Software Limited,"1,055.52",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/04/2022,101065,Investec Asset Finance Plc,"1,466.67",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/04/2022,101141,Hurryflow Limited T/A The Bear Hotel,535.00,REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/04/2022,102652,Orbis Education and Care Limited,"-1,942.43",REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/04/2022,130048,Phoenix Software Limited,"1,154.88",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/04/2022,190051,Yogi Communications Limited,"1,000.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2022,215489,Hafod Housing Association Limited,561.37,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2022,215489,Hafod Housing Association Limited,861.28,REVENUE
DIRECT ENVIRONMENT AND HOUSING,OVERHEAD,01/04/2022,301062,G.P.H.I.T (Integrated Services) Limited,"1,000.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/04/2022,319010,David Evans Agricultural Limited,598.38,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/04/2022,319010,C & K Supplies (UK) Limited,827.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/04/2022,319010,C & K Supplies (UK) Limited,"2,513.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/04/2022,319010,NTM - GB Limited,"2,549.23",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/04/2022,319010,Euro Commercials (South Wales) Limited,"5,193.01",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325366,Kordel Limited,730.35,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325366,Kordel Limited,810.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,598.88,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,598.88,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,675.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,730.35,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,GAP Group Limited,980.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,"1,225.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Breedon Southern Limited T/A Pinnacle Construction Materials,"1,323.93",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,"1,485.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,"1,600.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,"2,197.58",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Conemasters Limited,"2,306.36",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,"2,329.23",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,"3,721.48",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325380,Kordel Limited,"3,744.21",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325387,Kordel Limited,"1,941.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325387,Kordel Limited,"1,941.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325389,Kordel Limited,718.64,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2022,325389,Kordel Limited,"2,027.19",REVENUE
