DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/04/2021,101202,A-Day Consultants Limited T/A Academics,761.24,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/04/2021,101305,Supply Desk Limited,500.25,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/04/2021,101305,Taro Nod Limited,550.00,Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/04/2021,102652,Priory Healthcare Limited T/A Talocher School Priory,"7,000.00",Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/04/2021,102652,Priory Healthcare Limited T/A Talocher School Priory,"22,285.86",Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/04/2021,120080,Computacenter (UK) Limited,"11,424.40",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/04/2021,130506,ARC Plant & Civils Limited,"1,500.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/04/2021,130506,ARC Plant & Civils Limited,"1,500.00",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01/04/2021,156004,Big Fresh Catering Company Limited,"3,055.15",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,01/04/2021,157800,Big Fresh Catering Company Limited,"49,067.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/04/2021,209151,Complete Business Solutions Group Limited,"1,149.48",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,213911,Healthy Workstations Limited,613.20,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,215401,Chubb Fire & Security Limited,891.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,558.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,589.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,598.64,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),640.29,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,686.42,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,215489,ND Care & Support Limited,745.20,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,217909,Ategi Limited,512.75,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/04/2021,217909,Ategi Limited,"2,058.75",Revenue
DIRECT YOS,GF YOS,01/04/2021,221305,Unitas Academy Limited,750.00,Revenue
DIRECT YOS,GF YOS,01/04/2021,221305,SYNRJ Limited,"1,050.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/04/2021,319000,Your Bespoke Space Limited,"25,610.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2021,323672,Drainforce Limited,"3,000.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2021,323673,Hire Station Limited T/A ESS Safeforce,550.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2021,323680,Secure-a-Field Limited,"5,404.04",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2021,323680,WSP UK Limited,"12,026.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/04/2021,333102,Countrywide Grounds Maintenance Limited,"28,544.25",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/04/2021,333500,Barcham Trees Plc,"7,371.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/04/2021,333500,Ted Hopkins Limited,"49,368.68",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/04/2021,333550,Total Ground Care Limited,525.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2021,341182,LJ Developments (Atlantic) Limited,"27,453.42",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/04/2021,341220,SUEZ Recycling and Recovery UK Limited,"41,747.87",Revenue
