DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,511.74,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Cherish Cymru Limited,553.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Annwyl Limited t/a Bluebird Care,567.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Cherish Cymru Limited,591.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Cherish Cymru Limited,604.17,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Parkrow Care Limited,645.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Annwyl Limited t/a Bluebird Care,647.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Annwyl Limited t/a Bluebird Care,653.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,674.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,745.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Parkrow Care Limited,768.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Parkrow Care Limited,768.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Cherish Cymru Limited,776.79,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,GJ Care & Training Limited,777.19,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,782.16,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Parkrow Care Limited,788.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,GJ Care & Training Limited,794.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Cherish Cymru Limited,801.45,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Annwyl Limited t/a Bluebird Care,801.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Cherish Cymru Limited,806.46,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,807.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,807.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Annwyl Limited t/a Bluebird Care,810.43,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Annwyl Limited t/a Bluebird Care,810.43,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Annwyl Limited t/a Bluebird Care,810.43,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,GJ Care & Training Limited,812.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Cherish Cymru Limited,818.93,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,820.32,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Parkrow Care Limited,828.52,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,851.62,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Willowmere Home Care Agency Limited,907.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,215489,Annwyl Limited t/a Bluebird Care,986.40,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,216179,Willowmere Home Care Agency Limited,560.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,216179,Parkrow Care Limited,768.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,216179,Cherish Cymru Limited,"1,397.86",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,217909,GJ Care & Training Limited,909.68,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,218419,Annwyl Limited t/a Bluebird Care,810.43,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/08/2022,140122,Datagraphic Group Limited,860.40,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/08/2022,140122,Childcare Vouchers Limited,"6,846.85",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/08/2022,239058,Promo Cymru Trading Limited,"12,937.50",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/08/2022,260090,Llamau Limited,"15,468.76",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/08/2022,260130,PayPoint Payment Services Limited t/a CSGA Glamorgan,533.66,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF BUILDING SERVICES,01/08/2022,300600,Serco Limited,"-2,750.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325380,Kordel Limited,"1,228.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325380,Kordel Limited,"1,386.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325382,Kordel Limited,"3,062.02",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325392,Kordel Limited,800.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325392,Kordel Limited,"1,228.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325392,Kordel Limited,"3,062.02",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325501,Glamorgan White Lining Limited,545.41,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325681,Kordel Limited,"2,513.45",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325790,Kordel Limited,838.50,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325851,Kordel Limited,606.02,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/08/2022,325852,Glamorgan White Lining Limited,981.45,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/08/2022,420212,Capita Business Services Limited,"-1,583.34",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01/08/2022,440530,Oyster Information Management Solutions Limited,"1,925.00",Revenue
DIRECT CAPITAL SOCIAL SERVICES,CAPITAL COMM CARE & HEALTH,01/08/2022,830005,FRF Motors Limited,"24,700.50",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL ECO DEV,01/08/2022,834231,Capita (Real Estate & Infrastructure) Limited,"16,122.64",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/08/2022,842168,RPA Quantity Surveyors Limited t/a RPA,"1,099.45",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/08/2022,842239,ARC Contracting Limited,"-29,530.80",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/08/2022,842300,RPA Quantity Surveyors Limited t/a RPA,"-1,099.45",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,AR CAPITAL LEISURE,01/08/2022,835406,Gibson Specialist Technical Services Limited,"72,882.40",Capital
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/08/2022,365790,Ceri Byles,"-1,000.00",Revenue
