DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01/08/2020,239030,Computacenter (UK) Limited,"-1,123.29",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/08/2020,260260,Frontline Staffing Limited,"-1,472.23",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/08/2020,421230,Computacenter (UK) Limited,"1,123.29",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/08/2020,359390,University of South Wales,"2,001.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,GJ Care & Training Limited,514.15,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,GJ Care & Training Limited,614.96,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,GJ Care & Training Limited,651.28,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,Parkrow Care Limited,663.83,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,GJ Care & Training Limited,685.48,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,GJ Care & Training Limited,722.06,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,GJ Care & Training Limited,727.96,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,Parkrow Care Limited,799.34,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,217909,GJ Care & Training Limited,769.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,218419,Parkrow Care Limited,688.16,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03/08/2020,101065,Asda Stores Limited,"4,212.00",REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,03/08/2020,120080,Askews & Holts Library Services Limited,546.78,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,03/08/2020,120080,Askews & Holts Library Services Limited,600.75,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,03/08/2020,140122,Childcare Vouchers Limited,"11,327.62",REVENUE
DIRECT LEARNING AND SKILLS,GF CATERING,03/08/2020,156009,Filco Supermarkets Limited,"2,028.00",REVENUE
DIRECT LEARNING AND SKILLS,GF CATERING,03/08/2020,156009,Tesco Stores Limited,"31,200.00",REVENUE
DIRECT LEARNING AND SKILLS,GF CATERING,03/08/2020,156009,Asda Stores Limited,"51,330.24",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03/08/2020,209151,Gibbonsdown Childrens Centre Limited,864.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03/08/2020,209151,Gibbonsdown Childrens Centre Limited,960.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,03/08/2020,209151,Gibbonsdown Childrens Centre Limited,"6,240.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,Hafod Housing Association Limited,528.52,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,ND Care & Support Limited,695.52,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,ND Care & Support Limited,695.52,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,ND Care & Support Limited,695.52,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,ND Care & Support Limited,695.52,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/08/2020,215489,Hafod Housing Association Limited,810.88,REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,03/08/2020,239032,Action for Children Services Limited,"36,951.25",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,03/08/2020,319010,Aebi Schmidt UK Limited,735.40,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,03/08/2020,319010,Watts Truck & Van (Cardiff) Limited,843.93,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,03/08/2020,319010,Gemco Service Limited,932.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,03/08/2020,319010,Holt JCB Limited,"1,017.42",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325355,Garth Plant & Sons Limited,"1,092.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325365,Garth Plant & Sons Limited,"1,092.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325510,Kordel Limited,"1,345.26",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325600,Kordel Limited,608.70,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325600,Kordel Limited,830.74,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325600,Kordel Limited,"1,053.18",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325621,Kordel Limited,778.88,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325790,Kordel Limited,527.02,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,03/08/2020,325790,Kordel Limited,808.95,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,03/08/2020,333013,The Firewood Company (UK) Limited T/A Esa Tree Care,"1,220.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,03/08/2020,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,"2,100.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,03/08/2020,365803,K-Tax Limited,"5,748.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03/08/2020,405004,Khehra International 2 Limited t/a Celtic International Hotel,"27,125.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,03/08/2020,405100,Hafod Housing Association Limited,510.83,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA REPAIRS,03/08/2020,409103,ADC Fire Systems Limited,507.00,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03/08/2020,421230,Computacenter (UK) Limited,"1,431.58",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,03/08/2020,440010,NLA Media Access Limited,"12,930.50",REVENUE
DIRECT POLICY,GF ELECTIONS,03/08/2020,463100,Critiqom Limited,"1,196.41",REVENUE
DIRECT POLICY,GF ELECTIONS,03/08/2020,463100,Critiqom Limited,"4,885.50",REVENUE
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,03/08/2020,810118,AECOM Limited,"4,183.05",CAPITAL
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,03/08/2020,810119,AECOM Limited,"6,028.47",CAPITAL
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,03/08/2020,810121,AECOM Limited,"8,476.15",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,03/08/2020,831568,The Bike Shop (Wales) Limited,"1,402.92",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,03/08/2020,831568,The Bike Shop (Wales) Limited,"7,895.06",CAPITAL
DIRECT CAPITAL DEVELOPMENT,CAPITAL PLANNING,03/08/2020,837176,Arcadis Consulting (UK) Limited,"9,530.71",CAPITAL
