DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/12/2019,365803,CJ Contract Travel Services Limited,"-2,090.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,218419,Hafod Care Association Limited,"29,198.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101025,I Teach (Wales) Limited,875.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101025,Investec Asset Finance Plc,"1,061.27",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101025,3P Learning Limited,"1,224.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101110,One Team Logic Limited,548.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101173,ExtraScope Limited t/a ExtraScope IT Services,"1,033.95",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101173,Legacy Leisure Limited,"1,046.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101173,A & R Contract Cleaning Specialist Limited,"1,253.46",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101229,Investec Asset Finance Plc,"-1,230.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101300,Legacy Leisure Limited,990.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101300,CF Corporate Finance Limited,"1,299.99",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/12/2019,101300,Watts Coaches Limited,"1,425.00",Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,02/12/2019,102624,Empowering Learning Limited,513.60,Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,02/12/2019,102624,Empowering Learning Limited,513.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,02/12/2019,102636,Empowering Learning Limited,521.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,02/12/2019,102636,Empowering Learning Limited,521.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,02/12/2019,102636,The Vale of Glamorgan Hotel Limited,822.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,02/12/2019,102636,Empowering Learning Limited,848.45,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,02/12/2019,102636,Merricks Private Transport Contractors Limited,"6,769.00",Revenue
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02/12/2019,130041,Supacleen Limited,823.18,Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,02/12/2019,154401,Wonder Marketing Limited t/a Wonder Company,"3,525.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/12/2019,209157,Family Links (Educational Programmes),625.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,215025,Vale People First Limited,"3,830.57",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,216181,Handicare Accessibility Limited,"2,100.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,217541,Cartrefi Cymru Co-Operative Limited,"24,193.60",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,217541,Cartrefi Cymru Co-Operative Limited,"83,788.76",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,217541,Cartrefi Cymru Co-Operative Limited,"85,224.92",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,217541,Care Management Group Limited,"86,398.27",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,217909,A2B (South Wales) Limited,"1,314.02",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/12/2019,217909,Valeplus (Cymru) & Valeplus Extra,"37,412.29",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/12/2019,260116,PayPoint Payment Services Limited t/a CSGA Glamorgan,806.05,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02/12/2019,333500,Ustigate Limited,"2,685.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/12/2019,341300,Wireless CCTV Limited,"4,452.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365789,Merricks Private Transport Contractors Limited,640.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365789,Peyton Travel Limited,656.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365789,Peyton Travel Limited,"1,490.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365789,Peyton Travel Limited,"1,501.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365789,Peyton Travel Limited,"1,501.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365789,Peyton Travel Limited,"1,680.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365789,Peyton Travel Limited,"2,480.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365789,Peyton Travel Limited,"4,522.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Merricks Private Transport Contractors Limited,836.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Merricks Private Transport Contractors Limited,880.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"1,380.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"1,490.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"1,560.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"1,640.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"1,680.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Merricks Private Transport Contractors Limited,"1,710.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"1,780.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"2,380.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"2,680.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"3,100.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"3,160.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"3,160.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/12/2019,365790,Peyton Travel Limited,"3,380.00",Revenue
