DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,501.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,iMeUs Healthcare Limited,527.22,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,iMeUs Healthcare Limited,627.21,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,iMeUs Healthcare Limited,636.30,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,iMeUs Healthcare Limited,690.84,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,iMeUs Healthcare Limited,763.70,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,769.16,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,iMeUs Healthcare Limited,799.92,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,806.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,806.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,852.37,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,856.96,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,898.72,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,iMeUs Healthcare Limited,"1,199.88",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,216179,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,613.86,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,218419,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,769.16,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2022,100304,Taro Nod Limited,550.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2022,100304,Twenty 4 Seven Education Limited,774.12,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101004,Blue Sky Digital Solutions Limited,730.65,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,TTS Group Limited,636.35,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,Solutions in Technology Limited,795.04,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,Forces Fitness Limited,820.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,Maxxia Limited,951.82,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,Investec Asset Finance Plc,"1,153.85",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,Cwtch Consulting Limited,"1,300.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,Cwtch Consulting Limited,"1,300.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,Glamorgan Music School Limited,"2,400.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,EZ Education Limited,"2,700.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101025,Glamorgan Music School Limited,"3,240.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101030,Twenty 4 Seven Education Limited,"1,370.98",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101030,Twenty 4 Seven Education Limited,"1,862.94",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101030,Twenty 4 Seven Education Limited,"1,895.48",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101030,Twenty 4 Seven Education Limited,"3,473.25",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101213,New Era Education Limited,"1,060.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101305,Taro Nod Limited,550.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2022,103593,Education Staffing Partnership Limited,737.84,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2022,103593,Education Staffing Partnership Limited,911.41,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2022,209151,Gibbonsdown Childrens Centre Limited,960.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2022,209151,Gibbonsdown Childrens Centre Limited,"9,600.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2022,209163,Montague Place (W1) Limited T/A Westbourne Schools,"1,124.40",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01/02/2022,212731,Castell Howell Foods Limited,516.90,REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01/02/2022,212781,Castell Howell Foods Limited,597.57,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Moorhouse Care Services Limited t/a Moor House Residential Care Home,997.30,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,216181,Direct Healthcare Group Limited,"4,450.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,217909,National Autistic Society,"45,334.98",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,218321,Accurocare St. John's Home Limited,795.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,218419,Linc-Cymru Housing Association T/A Penylan House Community Nursing Home,"1,320.87",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,218419,Linc-Cymru Housing Association T/A Penylan House Community Nursing Home,"1,320.87",REVENUE
DIRECT ENVIRONMENT AND HOUSING,OVERHEAD,01/02/2022,301062,G.P.H.I.T (Integrated Services) Limited,"1,260.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,PUBLIC BUILDINGS,01/02/2022,306203,P & J Dust Extraction Limited,"1,573.66",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/02/2022,319010,Econ Engineering Limited,-900.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325380,Tom Prichard Contracting Limited,"1,150.50",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325380,Kordel Limited,"1,425.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325380,Kordel Limited,"1,941.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325380,Kordel Limited,"2,234.19",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325380,Kordel Limited,"3,744.21",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325385,Tom Prichard Contracting Limited,"1,150.50",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325387,Kordel Limited,"1,941.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325391,Kordel Limited,838.50,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325391,Kordel Limited,"3,549.29",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325392,Kordel Limited,"1,795.77",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325392,Kordel Limited,"3,259.33",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325810,Kordel Limited,681.37,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325810,Kordel Limited,751.25,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325810,Tom Prichard Contracting Limited,"1,150.50",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325890,Centregreat Limited,"4,063.74",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2022,325890,Centregreat Limited,"5,816.32",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/02/2022,333013,Ace Site Services (UK) Limited,"1,100.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/02/2022,333510,Ace Site Services (UK) Limited,850.00,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/02/2022,420221,South West Audit Partnership Limited,"4,550.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/02/2022,422100,OCS Group UK Limited,523.81,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01/02/2022,440531,Stonewall Equality Limited,"2,500.00",REVENUE
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL ECO DEV,01/02/2022,834231,Rubicon Heritage Services Limited,"11,135.01",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/02/2022,842060,Thornlink Limited T/A Vale Consultancy,625.00,CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/02/2022,842077,ARC Contracting Limited,"3,900.00",CAPITAL
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101031,Eastern Shires Purchasing Organisation,"1,984.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01/02/2022,440531,Cardiff County Council,938.87,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01/02/2022,440531,Cardiff County Council,"1,906.49",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/02/2022,365789,Peter Harris,720.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/02/2022,365789,Peter Harris,820.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/02/2022,365789,Peter Harris,"1,000.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,216181,Cardiff & Vale University Local Health Board,"3,349.11",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2022,100304,New Directions (Education) Limited,586.71,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2022,100304,Teaching Personnel Limited,957.64,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101004,Teaching Personnel Limited,566.30,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101004,Teaching Personnel Limited,566.30,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101004,Teaching Personnel Limited,566.30,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101004,Teaching Personnel Limited,566.30,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101315,Teaching Personnel Limited,571.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101315,Teaching Personnel Limited,571.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2022,101315,Teaching Personnel Limited,571.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2022,103412,Apollo Teaching Services Limited,910.85,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/02/2022,422160,Hays Specialist Recruitment Limited,576.83,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,503.87,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,506.65,REVENUE
