DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2020,260060,Care 4 Children Residential Services Limited,-607.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Willowmere Home Care Agency Limited,540.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Heidi Christoforato t/a Churchfields Home Care,544.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Willowmere Home Care Agency Limited,576.59,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,580.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,GJ Care & Training Limited,585.70,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Willowmere Home Care Agency Limited,588.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Willowmere Home Care Agency Limited,607.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,GJ Care & Training Limited,607.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Willowmere Home Care Agency Limited,624.26,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Willowmere Home Care Agency Limited,625.10,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Hallows Care Limited T/A Hallows Care,626.72,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/02/2020,215489,Hallows Care Limited T/A Hallows Care,631.96,Revenue
