DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Willowmere Home Care Agency Limited,604.52,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Annwyl Limited t/a Bluebird Care,615.09,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Willowmere Home Care Agency Limited,616.88,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Parkrow Care Limited,623.28,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Parkrow Care Limited,623.28,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Parkrow Care Limited,639.50,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Willowmere Home Care Agency Limited,655.34,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Annwyl Limited t/a Bluebird Care,702.04,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Parkrow Care Limited,702.10,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Annwyl Limited t/a Bluebird Care,724.30,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Willowmere Home Care Agency Limited,736.44,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Willowmere Home Care Agency Limited,764.96,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Parkrow Care Limited,799.34,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Annwyl Limited t/a Bluebird Care,805.23,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Annwyl Limited t/a Bluebird Care,830.64,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Willowmere Home Care Agency Limited,855.68,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,860.67,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Willowmere Home Care Agency Limited,876.15,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,216179,Willowmere Home Care Agency Limited,500.78,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,216179,Willowmere Home Care Agency Limited,779.97,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,100304,Reed Specialist Recruitment Limited,532.35,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,100304,Now Education Cardiff Limited,893.40,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,100304,Education Staffing Partnership Limited,893.54,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,100304,Education Staffing Partnership Limited,893.54,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101047,RP Brown Limited t/a Cymraeg Cleaning,650.00,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101047,RP Brown Limited t/a Cymraeg Cleaning,650.00,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101094,A-Day Consultants Limited T/A Academics,889.00,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101094,A-Day Consultants Limited T/A Academics,948.10,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101095,A-Day Consultants Limited T/A Academics,761.24,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101110,EZ Education Limited,"1,908.00",Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101202,Konica Minolta Business Solutions Limited,651.11,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101202,ParentPay Limited t/a Schoolcomms,"1,000.00",Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,102593,Blue Sky Digital Solutions Limited,748.20,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,102593,Education Staffing Partnership Limited,893.54,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,102593,Reed Specialist Recruitment Limited,992.10,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/02/2021,102636,The Nurture Group Network Limited,517.05,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/02/2021,102636,Now Education Cardiff Limited,524.45,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/02/2021,102636,Now Education Cardiff Limited,524.45,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/02/2021,102636,Now Education Cardiff Limited,524.45,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/02/2021,102636,Merricks Private Transport Contractors Limited,695.00,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,103636,Now Education Cardiff Limited,524.45,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/02/2021,130278,Argos Business Solutions Limited,517.67,Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/02/2021,140121,CCS Mclays Limited,"-10,500.00",Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/02/2021,140122,Childcare Vouchers Limited,"10,970.77",Revenue,
DIRECT LEARNING AND SKILLS,GF CATERING,01/02/2021,154671,ABM Catering for Leisure Limited,"5,481.25",Revenue,
DIRECT LEARNING AND SKILLS,GF CATERING,01/02/2021,156001,ABM Catering for Leisure Limited,625.00,Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2021,209151,Little Inspirations Limited,"3,520.00",Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2021,209151,Gibbonsdown Childrens Centre Limited,"4,000.00",Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2021,209151,Gibbonsdown Childrens Centre Limited,"4,000.00",Revenue,
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01/02/2021,212731,Castell Howell Foods Limited,577.77,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,213505,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),"1,391.75",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,213911,Complete Business Solutions Group Limited,731.04,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Cwtch Care Limited,562.66,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Cwtch Care Limited,764.44,Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2021,260130,PayPoint Payment Services Limited t/a CSGA Glamorgan,"1,258.95",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/02/2021,325960,Urbis Schreder Limited,"3,271.05",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/02/2021,333023,Travis Perkins Trading Co Limited,631.20,Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/02/2021,333037,GB Sport & Leisure UK Limited,604.56,Revenue,
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/02/2021,350740,Lyreco UK Limited,"4,776.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/02/2021,350740,Lyreco UK Limited,"15,642.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/02/2021,359341,LCB Construction Limited,"1,193.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/02/2021,365763,Reach Publishing Services Limited,632.70,Revenue,
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/02/2021,365786,New Adventure Travel Limited,"22,580.51",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,01/02/2021,405117,Front Row Properties Management Limited,520.00,Revenue,
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,01/02/2021,407120,AFT Group (Wales) Limited T/A Advanced Fire Technologies Limited,822.50,Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/02/2021,420211,Capita Business Services Limited,"1,300.00",Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/02/2021,421230,Cardiff Diesel Services Limited,585.80,Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/02/2021,421230,Xerox Finance Limited,"13,524.40",Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/02/2021,422003,Corona Energy Retail 4 Limited,"1,282.50",Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/02/2021,422003,Corona Energy Retail 4 Limited,"1,864.00",Revenue,
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,01/02/2021,471900,Aon UK Limited,"2,000.00",Revenue,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,01/02/2021,831568,Nextbike UK Limited,"46,000.00",Capital,
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,01/02/2021,834231,JCP Solicitors Limited,"1,500.00",Capital,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/02/2021,842066,Wales & West Utilities Limited,685.20,Capital,
DIRECT CAPITAL POLICY,CAPITAL POLICY,01/02/2021,852239,Datel Services Limited,"1,987.00",Capital,
DIRECT CAPITAL POLICY,CAPITAL POLICY,01/02/2021,852239,Datel Services Limited,"2,115.00",Capital,
DIRECT CAPITAL POLICY,CAPITAL POLICY,01/02/2021,852239,Datel Services Limited,"7,353.00",Capital,
DIRECT CAPITAL POLICY,CAPITAL POLICY,01/02/2021,852239,Datel Services Limited,"8,857.80",Capital,
DIRECT CAPITAL POLICY,CAPITAL POLICY,01/02/2021,852239,Datel Services Limited,"23,681.60",Capital,
DIRECT CAPITAL POLICY,CAPITAL POLICY,01/02/2021,852239,Datel Services Limited,"26,463.20",Capital,
DIRECT CAPITAL POLICY,CAPITAL POLICY,01/02/2021,852239,Datel Services Limited,"35,000.00",Capital,
DIRECT CAPITAL POLICY,CAPITAL POLICY,01/02/2021,852513,Willis Construction Limited,"5,383.97",Capital,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2021,209151,Joanne Weston,756.00,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,100304,Teaching Personnel Limited,532.80,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,100304,Teaching Personnel Limited,532.80,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,100304,Teaching Personnel Limited,554.85,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,100304,Teaching Personnel Limited,572.76,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101110,New Directions (Education) Limited,517.23,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101140,New Directions (Education) Limited,726.88,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/02/2021,101202,Valley Education Services Limited,854.05,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,103094,New Directions (Education) Limited,545.16,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/02/2021,103094,Apollo Teaching Services Limited,918.35,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Vale Care Services Limited,908.32,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Vale Care Services Limited,908.32,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Vale Care Services Limited,908.32,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Vale Care Services Limited,"1,135.40",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Vale Care Services Limited,"1,135.40",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Vale Care Services Limited,"1,135.40",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,215489,Vale Care Services Limited,"1,135.40",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/02/2021,218321,Waverley Care Centre Limited,"8,820.12",Revenue,
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/02/2021,190056,Sheryl Hopkins t/a Bramble Hedge Playscheme,500.00,Revenue,
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/02/2021,190056,Sheryl Hopkins t/a Bramble Hedge Playscheme,500.00,Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/02/2021,209151,Jacqueline Hewitson t/a Ladybird Childcare,720.00,Revenue,
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/02/2021,319010,Ceri Williams t/a Mobile Tyre Services,850.00,Revenue,
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/02/2021,319010,Ceri Williams t/a Mobile Tyre Services,850.00,Revenue,
DIRECT ENVIRONMENT AND HOUSING,GARAGE,01/02/2021,319010,Ceri Williams t/a Mobile Tyre Services,872.12,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/02/2021,130223,Youth Cymru,"4,500.00",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,Heidi Christoforato t/a Churchfields Home Care,513.12,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,iMeUs Healthcare Limited,522.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,iMeUs Healthcare Limited,579.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,All Saints DC Limited,610.38,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,GJ Care & Training Limited,614.96,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,iMeUs Healthcare Limited,630.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,All Saints DC Limited,636.58,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,All Saints DC Limited,636.58,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,GJ Care & Training Limited,651.28,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,GJ Care & Training Limited,653.04,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/02/2021,215489,Five Star Home Care Limited,668.08,Revenue,
