DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/01/2022,359750,Kingfisher Media Limited,"-1,000.00",REVENUE
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/01/2022,842077,Nationwide Windows Limited,"-7,523.70",CAPITAL
DIRECT ENVIRONMENT AND HOUSING,OVERHEAD,01/01/2022,301051,Cardiff County Council,"-1,900.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,501.32,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,526.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,589.05,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,674.20,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,688.56,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,785.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,839.29,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,935.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Parkrow Care Limited,948.40,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,216179,Parkrow Care Limited,563.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,218321,Parkrow Care Limited,563.51,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/01/2022,101317,Cyclepods Limited,569.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/01/2022,102593,Worldline IT Services UK Limited t/a FuelGenie,675.67,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/01/2022,102593,Penarth Autocare Limited,"1,076.71",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/01/2022,102593,AP Cymru Limited t/a MPCT,"4,000.00",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,04/01/2022,212731,PHS Group Plc,574.18,REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,04/01/2022,212781,SWLR Limited,"5,950.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/01/2022,215489,Hengoed Court Care Home Limited,516.64,REVENUE
