DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type
DIRECT POLICY,GF MISCELLANEOUS POLICY,01/01/2020,479050,Marsh Limited,"31,280.80",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/01/2020,260050,David Gareth Evans,910.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/01/2020,260050,Owen Thomas,"2,740.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Hallows Care Limited T/A Hallows Care,528.31,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Annwyl Limited t/a Bluebird Care,528.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Annwyl Limited t/a Bluebird Care,585.76,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Hallows Care Limited T/A Hallows Care,603.90,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Annwyl Limited t/a Bluebird Care,609.86,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Annwyl Limited t/a Bluebird Care,627.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Annwyl Limited t/a Bluebird Care,638.75,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,675.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,675.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,675.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,675.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Annwyl Limited t/a Bluebird Care,689.79,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,743.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,743.12,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Annwyl Limited t/a Bluebird Care,766.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,778.84,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/01/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,778.84,Revenue
