DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,776.79,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,801.45,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,826.11,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,838.44,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,863.10,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,863.10,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,868.84,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,937.08,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,215489,All Care (South Wales) Limited,"1,011.06",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,216179,All Care (South Wales) Limited,"1,442.61",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,217909,All Care (South Wales) Limited,591.84,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,217909,All Care (South Wales) Limited,879.74,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2022,218419,All Care (South Wales) Limited,542.52,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/07/2022,100759,Aderyn Limited T/A Pestaway,"2,000.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101013,A-Day Consultants Limited T/A Academics,532.85,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101013,A-Day Consultants Limited T/A Academics,532.85,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101013,A-Day Consultants Limited T/A Academics,532.85,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101013,A-Day Consultants Limited T/A Academics,532.85,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101013,A-Day Consultants Limited T/A Academics,794.96,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101013,Complete Business Solutions Group Limited,"1,106.05",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101013,PEAC (UK) Limited,"1,568.70",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101013,Rentokil Initial UK Limited,"2,661.61",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/07/2022,101031,Ecommercial Cleaning Services Limited,"1,800.00",REVENUE
