Directorate,Sub Directorate,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,506.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,All Care (South Wales) Limited,507.87,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Cherish Cymru Limited,508.54,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/07/2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,512.63,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,512.63,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,23/07/2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,512.63,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/07/2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,512.63,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/07/2019,215489,Heidi Christoforato t/a Churchfields Home Care,514.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Heidi Christoforato t/a Churchfields Home Care,514.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Heidi Christoforato t/a Churchfields Home Care,514.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Heidi Christoforato t/a Churchfields Home Care,514.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,30/07/2019,215489,Heidi Christoforato t/a Churchfields Home Care,514.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,Care In Wales Limited T/A Care in the Vale,515.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,31/07/2019,215489,Care In Wales Limited T/A Care in the Vale,515.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,1st Grade Care Limited,516.19,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,1st Grade Care Limited,516.19,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,1st Grade Care Limited,516.19,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,1st Grade Care Limited,516.19,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,521.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,521.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Caring Companions Limited,531.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Caring Companions Limited,531.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Caring Companions Limited,531.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,Caring Companions Limited,531.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Willowmere Home Care Agency Limited,540.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Willowmere Home Care Agency Limited,540.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Willowmere Home Care Agency Limited,540.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Willowmere Home Care Agency Limited,540.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,31/07/2019,215489,Willowmere Home Care Agency Limited,540.60,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Care In Wales Limited T/A Care in the Vale,542.41,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,Care In Wales Limited T/A Care in the Vale,542.41,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Annwyl Limited t/a Bluebird Care,548.19,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Cherish Cymru Limited,551.30,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,552.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,552.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,552.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,552.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,1st Grade Care Limited,553.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,1st Grade Care Limited,553.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,1st Grade Care Limited,553.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Care In Wales Limited T/A Care in the Vale,554.51,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,1st Grade Care Limited,558.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,1st Grade Care Limited,558.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,1st Grade Care Limited,558.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,1st Grade Care Limited,558.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Caring Companions Limited,562.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/07/2019,215489,GJ Care & Training Limited,562.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,GJ Care & Training Limited,562.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,GJ Care & Training Limited,562.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,GJ Care & Training Limited,562.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Care In Wales Limited T/A Care in the Vale,563.93,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,31/07/2019,215489,Care In Wales Limited T/A Care in the Vale,563.93,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,Caring Companions Limited,569.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,575.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,All Care (South Wales) Limited,576.72,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Caring Companions Limited,578.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,Caring Companions Limited,578.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/07/2019,215489,GJ Care & Training Limited,585.70,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,GJ Care & Training Limited,585.70,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,GJ Care & Training Limited,585.70,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,GJ Care & Training Limited,585.70,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Care In Wales Limited T/A Care in the Vale,593.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Heidi Christoforato t/a Churchfields Home Care,598.26,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Caring Companions Limited,598.57,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Caring Companions Limited,598.57,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,Caring Companions Limited,598.57,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Care In Wales Limited T/A Care in the Vale,599.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Care In Wales Limited T/A Care in the Vale,599.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18/07/2019,215489,Care In Wales Limited T/A Care in the Vale,599.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,31/07/2019,215489,Care In Wales Limited T/A Care in the Vale,599.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Willowmere Home Care Agency Limited,601.92,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/07/2019,215489,Willowmere Home Care Agency Limited,607.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,10/07/2019,215489,Willowmere Home Care Agency Limited,607.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Willowmere Home Care Agency Limited,607.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,24/07/2019,215489,Willowmere Home Care Agency Limited,607.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,31/07/2019,215489,Willowmere Home Care Agency Limited,607.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/07/2019,215489,Annwyl Limited t/a Bluebird Care,610.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Annwyl Limited t/a Bluebird Care,610.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,17/07/2019,215489,Annwyl Limited t/a Bluebird Care,610.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,26/07/2019,215489,Annwyl Limited t/a Bluebird Care,610.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/07/2019,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,11/07/2019,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/07/2019,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,19/07/2019,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,31/07/2019,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,31/07/2019,215489,Hallows Care Limited T/A Hallows Care,619.36,Revenue
