DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,509.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,GJ Care & Training Limited,514.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,535.26,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,560.23,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,1st Grade Care Limited,586.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,GJ Care & Training Limited,614.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,628.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,1st Grade Care Limited,640.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,1st Grade Care Limited,640.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,650.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Parkrow Care Limited,663.83,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,674.91,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,680.56,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,1st Grade Care Limited,683.07,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,1st Grade Care Limited,683.62,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,GJ Care & Training Limited,685.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,698.74,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,GJ Care & Training Limited,722.06,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,1st Grade Care Limited,723.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,GJ Care & Training Limited,727.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Hallows Care Limited T/A Hallows Care,759.80,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,215489,Parkrow Care Limited,799.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,217909,GJ Care & Training Limited,769.40,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,218313,GJ Care & Training Limited,628.18,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/07/2020,218419,Parkrow Care Limited,688.16,Revenue
