DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Caring Companions Limited,517.86,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Caring Companions Limited,542.52,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Caring Companions Limited,560.28,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Caring Companions Limited,622.67,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Parkrow Care Limited,645.68,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Caring Companions Limited,727.47,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Caring Companions Limited,737.66,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Parkrow Care Limited,768.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Parkrow Care Limited,768.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,GJ Care & Training Limited,777.19,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Parkrow Care Limited,788.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,GJ Care & Training Limited,794.92,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Caring Companions Limited,801.45,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,GJ Care & Training Limited,812.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,GJ Care & Training Limited,857.64,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Caring Companions Limited,863.10,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,215489,Parkrow Care Limited,865.76,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,216179,Caring Companions Limited,591.84,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,216179,Parkrow Care Limited,768.60,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/06/2022,217909,GJ Care & Training Limited,909.68,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/06/2022,260200,All Care (South Wales) Limited,522.00,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/06/2022,100121,Phoenix Software Limited,628.20,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101006,Educational Printing Services Limited,630.99,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101006,Garran Lockers Limited,"4,553.28",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101013,YHA (England & Wales) t/a Manorbier,"1,301.50",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101032,Dwr Cymru Cyf,"1,306.93",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101047,RP Brown Limited t/a Cymraeg Cleaning,750.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101055,XMA Limited,575.54,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101065,Total Gas & Power Limited,555.63,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101065,Biffa Waste Services Limited,600.18,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101065,Perform & Grow Limited,"1,560.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101134,Empowering Learning Limited,625.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101134,Perform & Grow Limited,"1,425.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101134,DSG Retail Limited,"1,915.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101216,Solutions in Technology Limited,544.98,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101233,Glamorgan Music School Limited,560.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101233,PGL Travel Limited,"1,120.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101233,Eco Glazed Frames Limited t/a Glasshouse,"14,131.32",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101261,Edwards Coaches Limited,800.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101261,The Hideout House Company Limited,"8,359.20",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/06/2022,101300,Hay Festival Foundation Limited,530.00,REVENUE
