DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/06/2019,421230,Certero Limited,-600.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/06/2019,422100,Chubb Fire & Security Limited,"-1,311.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/06/2019,422103,Chubb Fire & Security Limited,"1,311.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,512.63,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,Heidi Christoforato t/a Churchfields Home Care,514.01,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,Annwyl Limited t/a Bluebird Care,627.50,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,All Care (South Wales) Limited,643.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,All Care (South Wales) Limited,648.34,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,All Care (South Wales) Limited,671.16,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,675.36,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,1st Grade Care Limited,677.16,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,Annwyl Limited t/a Bluebird Care,686.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/06/2019,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,700.28,Revenue
