DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/03/2022,215489,Annwyl Limited t/a Bluebird Care,559.73,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/03/2022,215489,Annwyl Limited t/a Bluebird Care,579.02,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/03/2022,215489,Annwyl Limited t/a Bluebird Care,730.12,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/03/2022,215489,Annwyl Limited t/a Bluebird Care,730.12,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/03/2022,215489,Annwyl Limited t/a Bluebird Care,730.12,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/03/2022,215489,Annwyl Limited t/a Bluebird Care,955.50,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/03/2022,215489,Annwyl Limited t/a Bluebird Care,966.00,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/03/2022,100143,Portakabin Limited,"10,040.32",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/03/2022,100304,Now Education Group Limited,507.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/03/2022,100304,Now Education Group Limited,507.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101004,Blue Sky Digital Solutions Limited,791.54,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101004,A & R Contract Cleaning Specialist Limited,"1,830.09",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101006,Dragon Play & Sports Limited,"8,998.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101025,Solutions in Technology Limited,-763.33,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101141,Cornerstones Education Limited,800.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101171,SGD Security Limited,530.25,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101171,Siemens Financial Services Limited,870.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101300,CF Corporate Finance Limited,"1,299.99",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,101308,Dunster House Limited,"4,284.99",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,102593,IRM Bristol Limited,543.12,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,102593,Contact Radio Communications Limited,"2,464.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/03/2022,102636,Now Education Group Limited,530.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/03/2022,102636,Now Education Group Limited,585.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/03/2022,102636,Merricks Private Transport Contractors Limited,981.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2022,104381,A & R Contract Cleaning Specialist Limited,"1,307.13",REVENUE
