DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/03/2020,260060,Independent Foster Care Services Limited,620.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,535.80,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Heidi Christoforato t/a Churchfields Home Care,544.91,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,1st Grade Care Limited,558.04,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Parkrow Care Limited,595.32,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,1st Grade Care Limited,610.26,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Parkrow Care Limited,632.37,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,1st Grade Care Limited,637.85,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,1st Grade Care Limited,651.14,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,1st Grade Care Limited,658.47,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,675.36,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,675.36,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,1st Grade Care Limited,689.37,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,743.12,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,778.84,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,796.76,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,805.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,877.07,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,216179,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,912.79,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,217909,Heidi Christoforato t/a Churchfields Home Care,570.18,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/03/2020,217909,Heidi Christoforato t/a Churchfields Home Care,644.62,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/03/2020,101055,One Team Logic Limited,820.00,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/03/2020,101137,Pearson Education Limited,978.00,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/03/2020,101202,A-Day Consultants Limited T/A Academics,701.72,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/03/2020,101202,Konica Minolta Business Solutions Limited,"1,350.48",Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/03/2020,101202,Watts Coaches Limited,"1,650.00",Revenue,
