DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/03/2021,100304,A-Day Consultants Limited T/A Academics,"1,447.80",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/03/2021,100304,A-Day Consultants Limited T/A Academics,"1,547.05",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/03/2021,100304,New Directions (Education) Limited,856.55,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/03/2021,100304,New Directions (Education) Limited,856.55,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/03/2021,100922,Edufocus Limited,"4,999.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101004,ARC Electrical Engineering Solutions Limited,"2,348.76",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101025,Grenke Leasing Limited,"6,000.06",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101047,RP Brown Limited t/a Cymraeg Cleaning,650.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101110,PEAC (UK) Limited,"1,343.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101134,New Directions (Education) Limited,545.16,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101134,New Directions (Education) Limited,545.16,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101145,TTS Group Limited,619.90,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101202,Oxford University Press,"2,263.91",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101261,JMD Cleaning Services Limited T/A Edward Jeffery Carpet Cleaning Services,750.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101300,CF Corporate Finance Limited,"1,299.99",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101300,Thomas Miller & Ptn T/A Penllyne Plumbing Services,503.85,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101300,New Directions (Education) Limited,908.60,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/03/2021,101305,Taro Nod Limited,550.00,Revenue
