DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101006,Corona Energy Retail 4 Limited,750.31,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101006,The Assessment Foundation CIC,"1,230.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101007,PEAC (UK) Limited,"1,180.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101095,Dwr Cymru Cyf,"1,681.41",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101202,ParentPay Limited,746.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101202,Dwr Cymru Cyf,"1,788.62",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101202,I Teach (Wales) Limited,"3,250.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,102593,Education Staffing Solutions Limited,508.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,102593,Education Staffing Solutions Limited,508.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,102593,Education Staffing Solutions Limited,508.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,102593,Education Staffing Solutions Limited,508.75,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,102593,Social Firms Wales Limited,"3,780.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/05/2020,102636,Empowering Learning Limited,521.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/05/2020,102636,Empowering Learning Limited,"1,460.55",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/05/2020,102652,Orbis Education and Care Limited,"1,046.94",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/05/2020,102652,Kings Monkton Independent School Limited,"2,584.40",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/05/2020,102652,Kings Monkton Independent School Limited,"2,584.40",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/05/2020,102652,Kings Monkton Independent School Limited,"4,163.78",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/05/2020,102652,Kings Monkton Independent School Limited,"4,163.78",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/05/2020,102652,Kings Monkton Independent School Limited,"5,455.98",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/05/2020,102652,Kings Monkton Independent School Limited,"9,849.46",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/05/2020,102652,Kings Monkton Independent School Limited,"11,162.73",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/05/2020,130511,Dwr Cymru Cyf,762.51,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/05/2020,140131,Matrix SCM Limited,"128,880.47",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/05/2020,215489,10% Increase - GJ Care & Training Limited,"4,442.39",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/05/2020,325097,Dwr Cymru Cyf,586.22,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/05/2020,333013,Ace Site Services (UK) Limited,650.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01/05/2020,333560,Ace Site Services (UK) Limited,"2,500.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/05/2020,341120,Dwr Cymru Cyf,"1,615.07",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/05/2020,356020,Dwr Cymru Cyf,843.53,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365769,Creigiau Travel Limited,"5,346.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365786,Easyway Minicoach Hire Limited,"8,091.03",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365789,Creigiau Travel Limited,-801.90,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365789,Watts Coaches Limited,"2,409.76",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365790,Creigiau Travel Limited,"-2,673.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365790,Watts Coaches Limited,"15,178.78",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365791,Easyway Minicoach Hire Limited,"9,575.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365794,Creigiau Travel Limited,"-1,871.10",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365794,Watts Coaches Limited,"1,582.88",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2020,365795,Watts Coaches Limited,"2,219.33",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,01/05/2020,400050,The Transcription Agency LLP,561.79,REVENUE
