DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/05/2022,215489,Willowmere Home Care Agency Limited,"16,205.26",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/05/2022,216179,Willowmere Home Care Agency Limited,"1,368.70",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2022,365789,Apollo Minibus & Coach Hire Limited,"-2,940.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,01/05/2022,365790,Apollo Minibus & Coach Hire Limited,"-6,559.75",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/05/2022,260060,Action for Children,"1,038.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/05/2022,260060,Action for Children,"14,705.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,511.74,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,526.35,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,674.92,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,745.15,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,807.80,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,820.32,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,851.62,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,907.80,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,215489,Willowmere Home Care Agency Limited,949.42,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/05/2022,216179,Willowmere Home Care Agency Limited,560.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,03/05/2022,100307,Lyreco UK Limited,"2,340.00",REVENUE
