DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101004,Superstars School Services Limited,"1,600.20",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101006,Nessy Learning Limited,587.50,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101006,Spaceright Europe Limited,750.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101006,The Learning Partnership (Wales) Limited,801.30,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101013,CF Corporate Finance Limited,"1,039.99",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101013,A-Day Consultants Limited T/A Academics,"1,719.84",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101013,Globebrow Limited t/a Manor Adventure,"1,720.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101013,A-Day Consultants Limited T/A Academics,"2,399.08",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101195,Fronting The Challenge Projects Limited t/a Thrive,537.00,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101195,Twinkl Limited,"1,425.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101195,A-Day Consultants Limited T/A Academics,"1,666.41",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101241,Grenke Leasing Limited,"1,476.72",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,101315,Apogee Corporation Limited,"1,419.60",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2019,104385,Community Products (UK) Limited,"5,337.00",Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/11/2019,190052,RT Safety Limited,550.00,Revenue
