DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2021,101065,Seesaw Learning Inc,"1,201.50",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/11/2021,102604,Inspired Learners Limited,"6,048.00",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/11/2021,102652,Orbis Education and Care Limited,"8,466.85",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/11/2021,140122,Datagraphic Group Limited,744.60,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/11/2021,140131,Matrix SCM Limited,"142,044.90",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/11/2021,190056,RT Safety Limited,650.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/11/2021,209151,Little Inspirations Limited,"2,816.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/11/2021,325380,Conemasters Limited,"1,917.25",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/11/2021,359750,Clear Cut Social Limited,"-1,870.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,01/11/2021,405108,Pegasus Maintenance Services Limited,"1,960.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/11/2021,421235,OCNR (EMEA) Limited,"-2,200.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/11/2021,421235,OCNR (EMEA) Limited,"2,200.00",REVENUE
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,01/11/2021,812311,AECOM Limited,"19,850.38",CAPITAL
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,01/11/2021,812474,ARC Electrical Engineering Solutions Limited,"39,532.14",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/11/2021,842068,Elite Rendering Systems Limited,"49,250.92",CAPITAL
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/11/2021,323771,Western Power Distribution LLP,"2,195.57",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/11/2021,140127,Jo Williams,"1,360.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2021,100304,Teaching Personnel Limited,560.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2021,100304,Teaching Personnel Limited,561.05,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2021,100304,Teaching Personnel Limited,561.05,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2021,100304,Teaching Personnel Limited,561.05,REVENUE
