DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE,,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/11/2022,100786,Maccom Hire Limited trading as McAvoy,"5,170.00",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101004,Schools EDI - EDF Energy Plc,"3,714.24",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101005,Schools EDI - EDF Energy Plc,"1,111.76",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101006,Schools EDI - EDF Energy Plc,"-1,834.45",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101006,Chrysalis Mindset Coaching Limited,"1,500.00",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101006,Schools EDI - EDF Energy Plc,"1,604.76",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101006,Schools EDI - EDF Energy Plc,"1,834.45",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101006,Schools EDI - EDF Energy Plc,"1,967.94",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101006,Schools EDI - EDF Energy Plc,"2,283.83",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101007,Schools EDI - EDF Energy Plc,"1,492.48",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101007,Schools EDI - EDF Energy Plc,"1,770.78",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101013,Schools EDI - EDF Energy Plc,"1,637.98",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101025,Schools EDI - EDF Energy Plc,"2,774.15",REVENUE,,,
