DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/11/2020,350736,SUI Generis International Limited,"-3,441.06",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Willowmere Home Care Agency Limited,500.78,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,1st Grade Care Limited,502.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,GJ Care & Training Limited,514.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,iMeUs Healthcare Limited,522.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Annwyl Limited t/a Bluebird Care,534.20,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,1st Grade Care Limited,543.16,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,iMeUs Healthcare Limited,567.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,iMeUs Healthcare Limited,579.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Cherish Cymru Limited,579.02,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,1st Grade Care Limited,586.04,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Cherish Cymru Limited,589.26,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Willowmere Home Care Agency Limited,604.52,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Cherish Cymru Limited,605.48,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,All Saints DC Limited,610.38,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,GJ Care & Training Limited,614.96,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Annwyl Limited t/a Bluebird Care,615.09,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Willowmere Home Care Agency Limited,616.88,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2020,215489,Parkrow Care Limited,623.28,Revenue
