Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,694.10
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,662.28
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,627.96
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,588.94
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215489,All Saints DC Limited,669.86
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,216179,Heidi Christoforato t/a Churchfields Home Care,524.83
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,216179,Heidi Christoforato t/a Churchfields Home Care,524.83
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101025,The Consortium for Purchasing and Distribution Limited,640.72
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101025,The Consortium for Purchasing and Distribution Limited,1159.24
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101025,Tramshed Tech Limited,737.08
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101025,WHW Print Limited,810.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101094,Koufax Limited T/A Southpaw,806.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101180,Chubb Fire & Security Limited,732.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101213,Ricoh UK Limited,1003.32
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101216,Altodigital Networks Limited,2754.75
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101216,CF Corporate Finance Limited,2499.98
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101317,BLC (Wales) Limited t/a Big Learning Company,943.92
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,Academia Limited,4560.91
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,Cardiff Lift Company Limited,720.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,Complete Care Network Limited t/a Complete Care Shop,594.95
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,102593,Tugbury Electrical Services Limited,925.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,212731,The Helping Hand Company (Ledbury) Limited,810.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,215121,Tunstall Healthcare (UK) Limited,1090.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,216731,CJ Contract Travel Services Limited,570.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,218315,Lyreco UK Limited,816.28
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01-Oct-2018,218315,Lyreco UK Limited,-816.28
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,01-Oct-2018,260500,Complete Business Solutions Group Limited,1414.80
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,01-Oct-2018,260500,Complete Business Solutions Group Limited,3068.40
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,01-Oct-2018,260500,Complete Business Solutions Group Limited,5612.40
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,325600,Calibre Contracting Limited,1324.95
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,325790,Calibre Contracting Limited,1365.17
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-Oct-2018,333013,Ace Site Services (UK) Limited,640.00
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-Oct-2018,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,2100.00
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,01-Oct-2018,333550,British Soil (Western) Limited,707.50
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,01-Oct-2018,356600,Wales Environmental Limited T/A Cardiff Drain Cleaning Co,555.00
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,01-Oct-2018,365763,Glamorgan Gem Limited,519.75
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,365790,The Edge (Systems) Limited,549.70
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,01-Oct-2018,400050,Glamorgan Gem Limited,507.00
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,01-Oct-2018,400050,Glamorgan Gem Limited,1092.00
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,01-Oct-2018,403102,Institute of Licensing,-2488.00
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,01-Oct-2018,403135,Institute of Licensing,-2677.00
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,01-Oct-2018,403330,Institute of Licensing,-840.00
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,01-Oct-2018,405001,Nina Estate Agents Limited,550.00
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Oct-2018,421230,Complete Business Solutions Group Limited,598.00
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Oct-2018,421230,West Mercia Air Conditioning Limited,1535.50
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01-Oct-2018,422100,West Mercia Air Conditioning Limited,1535.50
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01-Oct-2018,440530,Sabio Limited,28902.51
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01-Oct-2018,810118,AECOM Limited,32201.26
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,01-Oct-2018,810120,AECOM Limited,6740.88
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,01-Oct-2018,834231,HR Thomas Limited,600.00
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,01-Oct-2018,834231,JCP Solictors Limited,62990.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101005,Cardiff County Council,2357.50
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,01-Oct-2018,190051,Cardiff & Vale University Local Health Board,5000.00
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,365789,Peter Harris,585.00
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,01-Oct-2018,365790,Ceri Byles,1328.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101075,New Directions (Education) Limited,640.00
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01-Oct-2018,101213,New Directions (Education) Limited,522.00
