DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/10/2020,100304,Big Tick Limited,"2,025.00",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/10/2020,100304,Apollo Teaching Services Limited,587.65,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/10/2020,100304,Celtic Teachers Limited,810.00,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/10/2020,100304,Apollo Teaching Services Limited,857.10,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101004,Blue Sky Digital Solutions Limited,880.18,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101032,Ascari Office Limited,"3,145.80",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101032,Teaching Personnel Limited,549.80,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101032,Childnet International,500.00,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101094,A-Day Consultants Limited T/A Academics,819.50,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101094,A & R Contract Cleaning Specialist Limited,"2,141.98",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101094,Wales Restorative Approaches Partnership CIC,"3,763.44",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101110,Javen Products Limited,817.70,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,101110,A & R Contract Cleaning Specialist Limited,"2,515.82",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,102593,Procter Brothers Limited T/A Procter Contracts,"4,815.44",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,102593,David S Jarman & Ptn t/a Solution Express,608.84,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/10/2020,102636,WJEC CBAC Limited,669.06,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/10/2020,102636,CJ Contract Travel Services Limited,"1,441.63",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/10/2020,102636,Merricks Private Transport Contractors Limited,"2,601.00",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/10/2020,102636,The Amelia Methodist Trust Company Limited t/a Amelia Trust Farm,"10,976.00",REVENUE,
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/10/2020,102671,Barnardo Services Limited,"70,916.66",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/10/2020,103227,New Directions (Education) Limited,507.00,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/10/2020,103227,Bay Resourcing Limited,519.42,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,104381,Dale Building Maintenance Limited,622.72,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,104381,Findel Education Limited,972.86,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/10/2020,104381,A & R Contract Cleaning Specialist Limited,"1,278.37",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/10/2020,130278,A Class Apart Limited,"2,000.00",REVENUE,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/10/2020,140131,Matrix SCM Limited,"192,087.90",REVENUE,
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/10/2020,190063,Bridgend County Borough Council,"2,163.00",REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2020,213505,Heidi Christoforato t/a Churchfields Home Care,"-20,500.00",REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2020,213505,1st Grade Care Limited,"-10,500.00",REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2020,213505,Harrison Care Enterprises Barry Limited t/a Island View,"16,000.00",REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2020,213505,Valebrook Care Homes Limited,"17,500.00",REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2020,213505,Hebron Hall Limited,"28,000.00",REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/10/2020,213505,Waverley Care Centre Limited,"84,500.00",REVENUE,
