Directorate,Sub Directorate,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/09/2019,100603,Capita Business Services Limited,"17,250.00",Revenue,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02/09/2019,100143,GVA Grimley Limited t/a Avison Young,"1,850.00",Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/09/2019,101315,Biffa Waste Services Limited,510.83,Revenue,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/09/2019,101315,Apogee Corporation Limited,536.67,Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,02/09/2019,140122,Childcare Vouchers Limited,-696.00,Revenue,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,02/09/2019,140122,Childcare Vouchers Limited,"20,644.55",Revenue,
DIRECT LEARNING AND SKILLS,GF CATERING,02/09/2019,151335,ABM Catering for Leisure Limited,"1,120.29",Revenue,
DIRECT LEARNING AND SKILLS,GF CATERING,02/09/2019,154401,ABM Catering for Leisure Limited,"1,811.07",Revenue,
DIRECT LEARNING AND SKILLS,GF CATERING,02/09/2019,154671,ABM Catering for Leisure Limited,"1,337.79",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/09/2019,215006,Hays Specialist Recruitment Limited,571.80,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/09/2019,215006,Hays Specialist Recruitment Limited,714.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/09/2019,215006,Hays Specialist Recruitment Limited,714.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/09/2019,215006,Glamorgan Voluntary Services,"1,650.00",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/09/2019,215121,Tunstall Healthcare (UK) Limited,"1,632.00",Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/09/2019,260210,Liquid Personnel Limited,"1,387.00",Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/09/2019,260265,Gateway Psychology Limited,882.00,Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/09/2019,260265,Neal Social Care Limited,"1,634.00",Revenue,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/09/2019,260265,Walter Standen T/A Standens Contract Hire,"1,872.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/09/2019,323685,Stanford Marsh Limited t/a Cadspec,"9,785.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02/09/2019,333013,Ace Site Services (UK) Limited,760.00,Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02/09/2019,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,"2,180.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/09/2019,341220,Acorn Recruitment Limited,576.73,Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/09/2019,341220,Acorn Recruitment Limited,597.09,Revenue,
NEW REGENERATION,REGENERATION & PLANNING,02/09/2019,354727,Centrewire Limited,"4,606.40",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/09/2019,402421,Atal Y Fro,"7,500.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/09/2019,402421,Atal Y Fro,"7,500.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/09/2019,405001,L Mustoe Limited,575.00,Revenue,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/09/2019,405103,Policy in Practice Limited,"1,150.00",Revenue,
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,02/09/2019,407119,Building Recruitment Company Limited,"1,378.61",Revenue,
DIRECT POLICY,GF MISCELLANEOUS POLICY,02/09/2019,479050,Michael Bryl & Ptn T/A CW Facilities Management,"2,385.00",Revenue,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,02/09/2019,831553,Arcadis Consulting (UK) Limited,"3,275.00",Capital,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02/09/2019,842067,Twenty 12 Flooring.com Limited,853.47,Capital,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02/09/2019,842164,RPA Quantity Surveyors Limited t/a RPA,"1,000.00",Capital,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02/09/2019,842164,RPA Quantity Surveyors Limited t/a RPA,"1,250.00",Capital,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,03/09/2019,101285,Cooke and Arkwright Limited,"22,552.45",Revenue,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03/09/2019,102652,Mark Harries & Ptn T/A Seirrah Occupational Therapy,675.77,Revenue,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,03/09/2019,120080,Askews & Holts Library Services Limited,570.14,Revenue,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,03/09/2019,130045,Agored Cymru,"1,075.20",Revenue,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,03/09/2019,130271,Peyton Travel Limited,725.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,515.88,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,531.33,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,540.60,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,542.41,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,542.41,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,563.93,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,577.96,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,593.13,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,599.48,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,599.48,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,639.82,Revenue,
