DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,596.75,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,617.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,617.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,617.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,617.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,619.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,619.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,619.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,619.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,633.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,633.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,633.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215022,Heidi Christoforato t/a Churchfields Home Care,633.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,All Saints DC Limited,507.08,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,Cherish Cymru Limited,511.42,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,1st Grade Care Limited,527.94,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,1st Grade Care Limited,566.72,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,1st Grade Care Limited,579.04,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,Cherish Cymru Limited,607.90,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,1st Grade Care Limited,615.30,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,Cherish Cymru Limited,618.66,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,All Saints DC Limited,630.44,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,Cherish Cymru Limited,697.34,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,1st Grade Care Limited,723.79,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,All Saints DC Limited,740.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,All Saints DC Limited,790.80,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,215489,All Saints DC Limited,814.39,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2021,216179,All Saints DC Limited,545.78,REVENUE
