DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101030,Schools EDI - EDF Energy Plc,"1,709.70",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101055,Suppleo Recruitment Limited t/a Suppleo Education,"1,021.45",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101055,Legacy Leisure Limited,"1,644.75",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101055,Prospero Recruitment Limited,625.10,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101216,A-Day Consultants Limited T/A Academics,993.20,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101216,Millennium Personnel Services (Education) Limited t/a MPS Education,507.48,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101261,PEAC (UK) Limited,615.39,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101261,Welsh Dance Theatre Trust Limited,895.00,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101261,A & R Contract Cleaning Specialist Limited,"2,404.10",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101261,A & R Contract Cleaning Specialist Limited,"2,404.10",REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101261,New Directions (Education) Limited,506.95,REVENUE,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2022,101261,New Directions (Education) Limited,927.70,REVENUE,
DIRECT LEARNING AND SKILLS,STANDARDS AND PROVISIONS,01/09/2022,102645,School of Hard Knocks,"10,000.00",REVENUE,
DIRECT LEARNING AND SKILLS,STANDARDS AND PROVISIONS,01/09/2022,130280,HCE Adventure Limited,"2,180.00",REVENUE,
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/09/2022,130503,Lyreco UK Limited,"1,757.69",REVENUE,
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/09/2022,130511,Drainforce Limited,"1,923.00",REVENUE,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/09/2022,209163,Daisy Day Nurseries Limited,549.00,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,505.48,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,513.52,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,519.61,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,All Saints DC Limited,524.34,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,All Saints DC Limited,595.42,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,All Saints DC Limited,771.12,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,All Saints DC Limited,784.98,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,All Saints DC Limited,861.60,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,All Saints DC Limited,869.98,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,875.00,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,915.12,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,All Saints DC Limited,928.68,REVENUE,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2022,215489,Cardiff & Vale Caring 4 U Limited T/A Caremark Cardiff & The Vale of Glamorgan,974.23,REVENUE,
