DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,215489,iMeUs Healthcare Limited,579.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,215489,1st Grade Care Limited,730.62,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,215489,iMeUs Healthcare Limited,756.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,218419,A1 Care Services Limited t/a Ty Ceirios Nursing Home,517.95,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2020,101300,CF Corporate Finance Limited,"1,299.99",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2020,102593,Greenpoint IT Limited,663.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2020,102593,Academia Limited,696.19,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2020,102593,PHS Group Plc,796.73,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2020,102593,Hill-Rom Limited,"1,232.16",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/09/2020,102593,365 ITMS Limited,"6,446.24",REVENUE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,01/09/2020,102652,Priory Healthcare Limited T/A Talocher School Priory,"22,285.86",REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/09/2020,120080,Askews & Holts Library Services Limited,577.26,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/09/2020,120080,Askews & Holts Library Services Limited,654.08,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/09/2020,130045,Lyreco UK Limited,504.00,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/09/2020,140122,Childcare Vouchers Limited,"-1,416.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,01/09/2020,140122,Childcare Vouchers Limited,"10,911.44",REVENUE
DIRECT LEARNING AND SKILLS,GF CATERING,01/09/2020,156009,Filco Supermarkets Limited,"2,199.00",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01/09/2020,212741,TJ Services (Wales) Limited,"4,995.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,215489,Grangelodge Residential Home Limited t/a Grangelodge,553.66,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,579.01,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,589.04,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,612.54,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/09/2020,215489,Allied Health-Services Limited t/a Allied Healthcare,632.60,REVENUE
